Client ID,Risk Aversion Score,Median Investment Period
1,9,8
2,12,4
3,8,4
4,10,5
5,10,5
6,11,12
7,10,10
8,12,10
9,8,3
10,10,6
11,11,7
12,12,3
13,12,12
14,9,9
15,11,8
16,12,3
17,10,3
18,10,6
19,9,5
20,12,4
21,10,11
22,9,5
23,9,11
24,12,8
25,8,9
26,9,7
27,12,11
28,9,11
29,10,33
30,8,25
31,10,15
32,11,20
33,9,30
34,8,16
35,11,26
36,12,31
37,11,21
38,11,35
39,12,21
40,10,20
41,10,36
42,11,29
43,8,21
44,11,21
45,11,24
46,9,24
47,10,18
48,10,28
49,8,27
50,8,26
51,11,24
52,8,20
53,11,18
54,10,20
55,11,32
56,10,34
57,29,72
58,10,120
59,10,100
60,10,120
61,12,110
62,11,99
63,29,62
64,29,55
65,31,72
66,30,72
67,31,67
68,29,59
69,31,73
70,31,63
71,30,74
72,29,63
73,31,59
74,30,71
75,31,59
76,30,72
77,31,57
78,31,63
79,31,75
80,31,65
81,30,72
82,30,70
83,29,63
84,31,68
85,31,70
86,29,75
87,31,72
88,31,73
89,30,86
90,29,70
91,29,75
92,29,72
93,31,73
94,29,86
95,29,70
96,31,75
97,30,72
98,31,73
99,30,86
100,31,70
101,30,75
102,29,72
103,31,73
104,38,86
105,37,88
106,35,65
107,26,66
108,31,69
109,27,54
110,31,72
111,29,73
112,25,86
113,31,88
114,29,65
115,30,72
116,30,73
117,30,86
118,31,88
119,29,65
120,49,119
121,50,114
122,50,117
123,50,112
124,49,117
125,49,112
126,51,115
127,49,114
128,49,114
129,49,115
130,49,117
131,51,111
132,51,115
133,49,112
134,51,118
135,50,111
136,50,117
137,49,118
138,51,113
139,49,116
140,51,119
141,51,4
142,49,6
143,49,11
144,49,9
145,50,7
146,50,11
147,51,11
148,51,10
149,51,5
150,51,3
151,50,4
152,41,5
153,39,3
154,40,9
155,39,9
156,39,11
157,42,10
158,42,11
159,41,3
160,42,4
161,40,10
162,41,11
163,41,7
164,40,9
165,41,10
166,41,6
167,40,5
168,41,5
169,39,11
170,40,9
171,39,5
172,42,3
173,41,3
174,40,6
175,41,10
176,39,9
177,40,12
178,40,9
179,39,6
180,39,4
181,42,11
182,40,10
183,39,8
184,41,12
185,40,7
186,39,6
187,39,3
188,42,11
189,42,11
190,40,9
191,39,9
192,41,7
193,41,11
194,39,6
195,39,12
196,42,3
197,8,110
198,9,120
199,7,119
200,9,100
